name
3M
A-Mark Precious Metals
A.O. Smith
Aaron's
Abbott Laboratories
AbbVie
Abercrombie & Fitch
ABM Industries
Acadia Healthcare
Activision Blizzard
Acuity Brands
Adobe
ADP
ADT
Advance Auto Parts
Advanced Micro Devices
AECOM Technology
AES
Affiliated Managers Group
Aflac
AGCO
Agilent Technologies
AGNC Investment
AIG
Air Lease
Air Products & Chemicals
AK Steel Holding
Akamai Technologies
Alaska Air Group
Albemarle
Albertsons
Alcoa
Aleris
Alexandria Real Estate Equities
Alexion Pharmaceuticals
Align Technology
Alleghany
Allegheny Technologies
Alliance Data Systems
Alliance Resource Partners
Alliant Energy
Allison Transmission Holdings
Allscripts Healthcare Solutions
Allstate
Ally Financial
Alphabet
Altice USA
Altria Group
Amazon
AMC Networks
Amerco
Ameren
American Airlines Group
American Axle & Manufacturing
American Eagle Outfitters
American Electric
American Equity Investment
American Express
American Family Insurance Group
American Financial Group
American International Group
American National Insurance
American Tower
American Water Works
Ameriprise Financial
AmerisourceBergen
Ametek
Amgen
Amica Mutual Insurance
Amkor Technology
AMN Healthcare Services
Amphenol
Anadarko Petroleum
Analog Devices
Andersons
Anixter International
Annaly Capital Management
Ansys
Antero Resources
Anthem
Apache
Apple
Applied Industrial Technologies
Applied Materials
AptarGroup
Aramark
ArcBest
Arch Coal
Archer Daniels Midland
Arconic
Ares Capital
Arista Networks
Arrow Electronics
Arthur J. Gallagher
Asbury Automotive Group
Ascena Retail Group
ASGN
Ashland Global Holdings
Associated Banc-Corp
Assurant
AT&T
Atlas Air Worldwide Holdings
Atmos Energy
Auto-Owners Insurance
Autodesk
Autoliv
Automatic Data Processing
AutoNation
AutoZone
AvalonBay Communities
Avaya Holdings
Avery Dennison
Avis Budget Group
Avnet
Avon Products
BAE Systems
Ball
Bank of America
Bank of New York Mellon
Bank OZK
Barnes & Noble
Baxter International
BB&T
Beacon Roofing Supply
Beazer Homes USA
Becton Dickinson
Bed Bath & Beyond
Belden
Bemis
Benchmark Electronics
Berkshire Hathaway
Berry Global Group
Best Buy
Big Lots
Bio-Rad Laboratories
Biogen
BJ's Wholesale Club
BlackRock
Blackstone Group
Bloomin' Brands
BlueLinx Holdings
BMC Stock Holdings
Boeing
Boise Cascade
BOK Financial
Booking Holdings
Booz Allen Hamilton
BorgWarner
Boston Properties
Boston Scientific
Boyd Gaming
Brighthouse Financial
BrightView Holdings
Brink's
Brinker International
Bristol-Myers Squibb
Broadcom
Broadridge Financial Solutions
Brookdale Senior Living
Brown & Brown
Brown-Forman
Brunswick
Buckeye Partners
Builders FirstSource
Bunge
Burlington Stores
C.H. Robinson
C&J Energy Services
CA
Cabot
Cabot Oil & Gas
CACI International
Cadence Design
Cadence Design Systems
Caesars Entertainment
Caleres
California Resources
Calpine
Calumet Specialty Products
Campbell Soup
Camping World Holdings
Capital One Financial
Cardinal Health
Carlisle
Carlyle Group
CarMax
Carnival
Carpenter Technology
Carter's
Carvana
Casey's General Stores
Catalent
Caterpillar
Cboe Global Markets
CBRE Group
CBS
CDK Global
CDW
Celanese
Celgene
Centene
CenterPoint Energy
Central Garden & Pet
Century Communities
CenturyLink
Cerner
CF Industries Holdings
Charles River Laboratories International
Charles Schwab
Charter Communications
Cheesecake Factory
Chemours
Cheniere Energy
Chesapeake Energy
Chevron
Chico's FAS
Chimera Investment
Chipotle Mexican Grill
CHS
Church & Dwight
Ciena
Cigna
Cimarex Energy
Cincinnati Financial
Cinemark Holdings
Cintas
Cisco Systems
Citigroup
Citizens Financial Group
Citrix Systems
Clean Harbors
Cleveland-Cliffs
Clorox
CME Group
CMS Energy
CNO Financial Group
Coca-Cola
Cognizant
Cognizant Technology Solutions
Colfax
Colgate-Palmolive
Colony Capital
Columbia Sportswear
Comcast
Comerica
Comfort Systems USA
Commerce Bank
Commercial Metals
CommScope Holding
Community Health Systems
Conagra Brands
Concho Resources
Conduent
Conoco Phillips
Consolidated Edison
Constellation Brands
Continental Resources
Contura Energy
Cooper Cos.
Cooper Tire & Rubber
Cooper-Standard Holdings
Copart
Core-Mark Holding
Corning
CoStar Group
Costco Wholesale
Coty
Country Financial
Cracker Barrel Old Country Store
Crane
Credit Acceptance
Crestwood Equity Partners
Crown Castle International
Crown Holdings
CSX
Cullen/Frost Bankers
Cummins
CUNA Mutual Group
Curtiss-Wright
CVS Health
Cypress Semiconductor
D.R. Horton
Dana
Danaher
Darden Restaurants
Darling Ingredients
DaVita
DCP Midstream
Dean Foods
Deere
Deere & Company
Delek US Holdings
Dell Technologies
Delta Air Lines
Delta Tucker Holdings
Deluxe
Dentsply Sirona
Designer Brands
Devon Energy
Diamondback Energy
Dick's Sporting Goods
Diebold Nixdorf
Digital Realty Trust
Dillard's
Diplomat Pharmacy
Discover Financial Services
Discovery
DISH Network
Dollar General
Dollar Tree
Dominion Energy
Dominion Resources
Domino's Pizza
Domtar
Donaldson
Dover
DowDuPont
DTE Energy
Duke Energy
DuPont de Nemours
DXC Technology
Dycom Industries
E-Trade Financial
East West Bancorp
Eastman Chemical
eBay
Echo Global Logistics
EchoStar
Ecolab
Edgewell Personal Care
Edison International
Edwards Lifesciences
Eldorado Resorts
Electronic Arts
Element Solutions
Eli Lilly
EMCOR Group
Emerson Electric
Enable Midstream Partners
Encompass Health
Energy Transfer
EnerSys
EnLink Midstream
Ensign Group
Entergy
Enterprise Products Partners
EOG Resources
EQT
Equifax
Equinix
Equity Residential
Erie Insurance Group
Essex Property Trust
Estee Lauder
Esterline Technologies
Euronet Worldwide
Evercore
Evergy
Eversource Energy
Exelon
